No.    Code    Description
9005   0x232D  DNS operation refused.
9006   0x232E  DNS name that ought not exist, does exist.
9007   0x232F  DNS RR set that ought not exist, does exist.
9008   0x2330  DNS RR set that ought to exist, does not exist.
9009   0x2331  DNS server not authoritative for zone.
9010   0x2332  DNS name in update or prereq is not in zone.
9016   0x2338  DNS signature failed to verify.
9017   0x2339  DNS bad key.
9018   0x233A  DNS signature validity expired.
9101   0x238D  Only the DNS server acting as the key master for the zone may perform this operation.
9102   0x238E  This operation is not allowed on a zone that is signed or has signing keys.
9103   0x238F  NSEC3 is not compatible with the RSA-SHA-1 algorithm. Choose a different algorithm or use NSEC.
9104   0x2390  The zone does not have enough signing keys. There must be at least one key signing key (KSK) and at least one zone signing key (ZSK).
9105   0x2391  The specified algorithm is not supported.
9106   0x2392  The specified key size is not supported.
9107   0x2393  One or more of the signing keys for a zone are not accessible to the DNS server. Zone signing will not be operational until this error is resolved.
9108   0x2394  The specified key storage provider does not support DPAPI++ data protection. Zone signing will not be operational until this error is resolved.
9109   0x2395  An unexpected DPAPI++ error was encountered. Zone signing will not be operational until this error is resolved.
9110   0x2396  An unexpected crypto error was encountered. Zone signing may not be operational until this error is resolved.
9111   0x2397  The DNS server encountered a signing key with an unknown version. Zone signing will not be operational until this error is resolved.
9112   0x2398  The specified key service provider cannot be opened by the DNS server.
9113   0x2399  The DNS server cannot accept any more signing keys with the specified algorithm and KSK flag value for this zone.
9114   0x239A  The specified rollover period is invalid.
9115   0x239B  The specified initial rollover offset is invalid.
9116   0x239C  The specified signing key is already in process of rolling over keys.
